epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4937,1.4548,2.90757,1.73973,0.0032,0.98,0.11471,0.04213,1.66605,3.35857,2.20676,6e-05,6e-05,6e-05
2,37.2815,1.65152,3.22586,2.01,0.00327,1,0.42906,0.18307,1.38006,3.23158,1.92867,0.000137228,0.000137228,0.000137228
3,38.5448,1.28415,2.57779,1.5902,0.00327,1,0.73357,0.49034,1.04151,3.05008,1.55234,0.000211288,0.000211288,0.000211288
4,39.3389,1.19298,2.00059,1.5406,1,0.20412,0.74292,0.46124,1.03189,2.78632,1.49128,0.00028218,0.00028218,0.00028218
5,46.1621,1.17107,1.8108,1.54132,1,0.15098,0.80262,0.5467,0.97909,2.73363,1.41933,0.000349904,0.000349904,0.000349904
6,47.0094,1.1134,1.63103,1.37919,0.00632,0.9,0.7864,0.53833,0.989,2.8013,1.46392,0.00041446,0.00041446,0.00041446
7,51.1512,0.97897,1.50141,1.34895,0.0032,0.98,0.76499,0.58768,0.88061,2.82074,1.35511,0.000475848,0.000475848,0.000475848
8,51.926,1.05888,1.49815,1.32995,1,0.18515,0.66656,0.44476,1.03282,2.89496,1.50839,0.000534068,0.000534068,0.000534068
9,70.2268,0.87317,1.271,1.24083,0.80493,0.41281,0.52666,0.26825,1.47047,3.06485,2.06631,0.00058912,0.00058912,0.00058912
10,71.0424,1.10912,1.62114,1.63924,0.65045,0.42,0.45353,0.21699,1.34637,3.00266,1.88147,0.000641004,0.000641004,0.000641004
11,71.8361,0.9655,1.28951,1.33562,0.76987,0.33473,0.45547,0.28417,1.1828,2.97002,1.70135,0.00068972,0.00068972,0.00068972
12,72.6318,1.10266,1.63267,1.44258,0.82724,0.47888,0.54753,0.2945,1.29564,2.93162,1.80702,0.000735268,0.000735268,0.000735268
13,73.4198,1.08214,1.33343,1.33568,0.69279,0.36085,0.40198,0.1932,1.47868,3.189,2.05679,0.000777648,0.000777648,0.000777648
14,74.2055,1.04704,1.32309,1.35107,0.87073,0.4,0.46398,0.24954,1.38974,3.08099,1.8731,0.00081686,0.00081686,0.00081686
15,74.992,0.99113,1.32714,1.35989,0.50778,0.48,0.50916,0.35347,1.07625,2.64377,1.39247,0.000852904,0.000852904,0.000852904
16,75.7818,1.15068,1.3514,1.52351,0.64224,0.36,0.47241,0.33021,1.01446,2.44771,1.38606,0.00088578,0.00088578,0.00088578
17,96.5336,0.97562,1.19156,1.32351,0.39891,0.5,0.50804,0.38786,0.87994,2.32268,1.29712,0.000915488,0.000915488,0.000915488
18,97.3617,1.00927,1.19423,1.23614,0.56232,0.71949,0.64547,0.45827,1.00244,2.31897,1.41629,0.000942028,0.000942028,0.000942028
19,98.1876,0.93537,1.19507,1.30028,0.70617,0.72,0.71642,0.4888,1.1341,2.34561,1.61893,0.0009654,0.0009654,0.0009654
20,98.9523,1.04701,1.25896,1.32894,0.7544,0.79867,0.79416,0.57745,1.12867,2.15496,1.56545,0.000985604,0.000985604,0.000985604
21,100.032,1.10701,1.26742,1.3728,0.77687,0.72,0.75849,0.52794,1.00584,2.12333,1.45337,0.00100264,0.00100264,0.00100264
22,100.945,0.8054,1.05379,1.19723,0.77269,0.67985,0.72147,0.48174,1.19615,2.26547,1.69753,0.00101651,0.00101651,0.00101651
23,101.723,0.89779,1.08226,1.22818,0.63371,0.66,0.65712,0.40328,1.34963,2.55022,1.87722,0.00102721,0.00102721,0.00102721
24,102.671,0.98777,1.07619,1.27452,0.68301,0.56023,0.65018,0.39424,1.33709,2.30741,1.84872,0.00103474,0.00103474,0.00103474
25,125.836,0.90652,1.08391,1.22032,0.77667,0.6,0.70284,0.40088,1.31552,2.01357,1.83103,0.0010391,0.0010391,0.0010391
26,126.637,0.80811,0.94292,1.13856,0.75554,0.58,0.64603,0.36494,1.33869,1.92152,1.81546,0.00101,0.00101,0.00101
27,127.531,0.97986,1.0311,1.23335,0.78966,0.7,0.78028,0.47005,1.1893,1.67548,1.55591,0.0009704,0.0009704,0.0009704
28,128.306,0.86692,0.87253,1.18674,0.66968,0.86,0.78931,0.58872,0.97539,1.521,1.36803,0.0009308,0.0009308,0.0009308
29,129.32,0.8232,0.87501,1.17605,0.78418,0.8,0.84661,0.6435,0.86482,1.2882,1.24513,0.0008912,0.0008912,0.0008912
30,130.224,0.86492,0.93665,1.20074,0.95225,0.79773,0.92321,0.67664,0.86945,1.11499,1.20135,0.0008516,0.0008516,0.0008516
31,131.416,0.80981,1.24248,1.23231,0.91422,0.88,0.94417,0.73392,0.81501,0.97697,1.13349,0.000812,0.000812,0.000812
32,132.365,1.01531,1.19045,1.3353,0.89967,0.89674,0.95519,0.73818,0.80502,0.90561,1.12283,0.0007724,0.0007724,0.0007724
33,151.36,0.93093,0.9699,1.19949,0.8953,0.9,0.94996,0.71296,0.87814,0.9299,1.16368,0.0007328,0.0007328,0.0007328
34,152.168,0.73025,0.82046,1.08146,0.8711,0.94,0.94952,0.6664,0.98025,0.96109,1.2281,0.0006932,0.0006932,0.0006932
35,152.979,0.85619,0.9382,1.23858,0.93898,0.88,0.95359,0.72581,0.88753,0.8782,1.18041,0.0006536,0.0006536,0.0006536
36,153.838,0.75124,0.89454,1.11469,0.9383,0.98,0.98715,0.79072,0.72913,0.79329,1.09248,0.000614,0.000614,0.000614
37,154.716,0.82251,0.97452,1.15374,0.95749,1,0.99263,0.83162,0.67868,0.69357,1.06182,0.0005744,0.0005744,0.0005744
38,155.605,0.79732,0.84859,1.24494,0.97866,1,0.99461,0.84552,0.64026,0.66442,1.03113,0.0005348,0.0005348,0.0005348
39,156.484,0.878,0.98783,1.25599,1,0.99661,0.995,0.8349,0.64477,0.66448,1.0272,0.0004952,0.0004952,0.0004952
40,157.459,0.78422,0.82598,1.13613,0.99769,1,0.995,0.83686,0.65481,0.66264,1.02797,0.0004556,0.0004556,0.0004556
41,185.426,0.7258,1.1939,1.19148,0.98239,1,0.995,0.8259,0.63365,0.66641,1.00936,0.000416,0.000416,0.000416
42,186.239,0.68018,1.17477,1.05274,0.98902,1,0.995,0.83695,0.59957,0.64555,0.98343,0.0003764,0.0003764,0.0003764
43,190.535,0.62058,1.12521,1.08513,0.98845,1,0.995,0.86734,0.56674,0.6361,0.96547,0.0003368,0.0003368,0.0003368
44,191.366,0.59785,0.97134,1.10328,0.97914,1,0.99422,0.8783,0.53108,0.64145,0.94355,0.0002972,0.0002972,0.0002972
45,201.865,0.59914,0.96214,1.05637,0.97932,1,0.99382,0.87331,0.50174,0.6577,0.92061,0.0002576,0.0002576,0.0002576
46,202.672,0.59094,0.94674,1.02679,0.97939,1,0.99422,0.89111,0.47959,0.67049,0.90508,0.000218,0.000218,0.000218
47,205.851,0.53622,0.95465,1.09531,0.97898,1,0.99461,0.90452,0.46495,0.66624,0.89676,0.0001784,0.0001784,0.0001784
48,206.652,0.62047,1.08332,1.03047,0.97882,1,0.99461,0.90489,0.45815,0.65091,0.89296,0.0001388,0.0001388,0.0001388
49,216.58,0.62515,0.97248,1.15377,0.97885,1,0.99461,0.92029,0.45352,0.6314,0.89098,9.92e-05,9.92e-05,9.92e-05
50,217.399,0.61025,0.94993,1.03735,1,0.99389,0.995,0.92305,0.45097,0.61951,0.88959,5.96e-05,5.96e-05,5.96e-05
